Sample	% Duplication	% > Q30	Mb Q30 bases	Reads After Filtering	GC content	% PF	% Adapter
Diglossa_cyanea_161093	1.8317400000000001	85.3565	1084.100784	8.899968	50.36429999999999	83.97951873712466	12.570458125962938
Diglossa_cyanea_162560	1.9692100000000001	77.20179999999999	454.369623	4.045674	54.8848	74.42408664942106	6.8682815627889315
Diglossa_cyanea_162562	1.75751	84.4886	1039.072688	8.477722	49.980000000000004	82.45970644237825	8.853941738235246
Diglossa_cyanea_163720	1.8621800000000002	85.43650000000001	1190.266919	9.645223999999999	49.0435	81.05341955973174	10.350697270113638
Diglossa_cyanea_167678	2.07838	85.92410000000001	883.3721109999999	7.160051999999999	48.751400000000004	84.76000190353481	11.98765259353068
Diglossa_cyanea_169146	1.6174899999999999	83.6362	1122.601465	9.260264	49.7115	81.81579954110244	9.085853780073737
Diglossa_cyanea_169165	3.27765	83.87559999999999	568.494567	4.64468	55.9384	80.87352911473515	7.831221248306676
Diglossa_cyanea_169171	1.5164199999999999	83.4479	608.1682069999999	5.032725999999999	50.5937	79.82972327255919	8.743868892566786
Diglossa_cyanea_171247	2.92446	82.1971	389.922893	3.2413819999999998	54.2183	75.20970849637291	5.934996398898137
Diglossa_cyanea_171290	1.7742999999999998	85.0343	802.848635	6.582094	52.5355	84.69763812517984	12.012455084642383
Diglossa_cyanea_218742	1.7428099999999997	85.04	1137.715404	9.269383999999999	49.5775	83.31419466221624	10.36258374217226
Diglossa_cyanea_219530	1.96912	76.7905	361.382246	3.2546519999999997	56.289699999999996	73.34403902725715	7.832989371977192
